Commune,Visité ?,Province,Région,Date de visite,Photos,Commentaires
Anderlecht,No,Bruxelles,Bruxelles-Capitale,,,
Auderghem,No,Bruxelles,Bruxelles-Capitale,,,
Berchem-Sainte-Agathe,No,Bruxelles,Bruxelles-Capitale,,,
Bruxelles,Yes,Bruxelles,Bruxelles-Capitale,13 février 2021,"IMG_20210213_150107.jpg, IMG_20210213_172522.jpg, IMG_20210213_154919.jpg","Regarder des gens faire du patin à glace sur le lac du bois de la cambre, hôtel offert par Yasmina"
Etterbeek,No,Bruxelles,Bruxelles-Capitale,,,
Evere,No,Bruxelles,Bruxelles-Capitale,,,
Forest,No,Bruxelles,Bruxelles-Capitale,,,
Ganshoren,No,Bruxelles,Bruxelles-Capitale,,,
Ixelles,No,Bruxelles,Bruxelles-Capitale,,,
Jette,No,Bruxelles,Bruxelles-Capitale,,,
Koekelberg,No,Bruxelles,Bruxelles-Capitale,,,
Molenbeek-Saint-Jean,No,Bruxelles,Bruxelles-Capitale,,,
Saint-Gilles,No,Bruxelles,Bruxelles-Capitale,,,
Saint-Josse-ten-Noode,No,Bruxelles,Bruxelles-Capitale,,,
Schaerbeek,No,Bruxelles,Bruxelles-Capitale,,,
Uccle,No,Bruxelles,Bruxelles-Capitale,,,
Watermael-Boitsfort,No,Bruxelles,Bruxelles-Capitale,,,
Woluwe-Saint-Lambert,No,Bruxelles,Bruxelles-Capitale,,,
Woluwe-Saint-Pierre,No,Bruxelles,Bruxelles-Capitale,,,
Aiseau-Presles,No,Province de Hainaut,Région Wallonne,,,
Amay,No,Province de Liège,Région Wallonne,,,
Amblève,No,Province de Liège,Région Wallonne,,,
Andenne,No,Province de Namur,Région Wallonne,,,
Anderlues,No,Province de Hainaut,Région Wallonne,,,
Anhée,No,Province de Namur,Région Wallonne,,,
Ans,No,Province de Liège,Région Wallonne,,,
Anthisnes,No,Province de Liège,Région Wallonne,,,
Antoing,No,Province de Hainaut,Région Wallonne,,,
Arlon,No,Province de Luxembourg,Région Wallonne,,,
Assesse,No,Province de Namur,Région Wallonne,,,
Ath,No,Province de Hainaut,Région Wallonne,,,
Attert,No,Province de Luxembourg,Région Wallonne,,,
Aubange,No,Province de Luxembourg,Région Wallonne,,,
Aubel,No,Province de Liège,Région Wallonne,,,
Awans,No,Province de Liège,Région Wallonne,,,
Aywaille,No,Province de Liège,Région Wallonne,,,
Baelen,No,Province de Liège,Région Wallonne,,,
Bitsingen,No,Province de Liège,Région Wallonne,,,
Bastogne,No,Province de Luxembourg,Région Wallonne,,,
Beaumont,No,Province de Hainaut,Région Wallonne,,,
Beauraing,No,Province de Namur,Région Wallonne,,,
Beauvechain,No,Province du Brabant wallon,Région Wallonne,,,
Beloeil,No,Province de Hainaut,Région Wallonne,,,
Berloz,No,Province de Liège,Région Wallonne,,,
Bernissart,No,Province de Hainaut,Région Wallonne,,,
Bertrix,No,Province de Luxembourg,Région Wallonne,,,
Beyne-Heusay,No,Province de Liège,Région Wallonne,,,
Bièvre,No,Province de Namur,Région Wallonne,,,
Binche,No,Province de Hainaut,Région Wallonne,,,
Blegny,No,Province de Liège,Région Wallonne,,,
Bouillon,No,Province de Luxembourg,Région Wallonne,,,
Boussu,No,Province de Hainaut,Région Wallonne,,,
Braine-l'Alleud,No,Province du Brabant wallon,Région Wallonne,,,
Braine-le-Château,No,Province du Brabant wallon,Région Wallonne,,,
Braine-le-Comte,No,Province de Hainaut,Région Wallonne,,,
Braives,No,Province de Liège,Région Wallonne,,,
Brugelette,No,Province de Hainaut,Région Wallonne,,,
Brunehaut,No,Province de Hainaut,Région Wallonne,,,
Bullange,No,Province de Liège,Région Wallonne,,,
Burdinne,No,Province de Liège,Région Wallonne,,,
Burg-Reuland,No,Province de Liège,Région Wallonne,,,
Butgenbach,No,Province de Liège,Région Wallonne,,,
Celles,No,Province de Hainaut,Région Wallonne,,,
Cerfontaine,No,Province de Namur,Région Wallonne,,,
Chapelle-lez-Herlaimont,No,Province de Hainaut,Région Wallonne,,,
Charleroi,No,Province de Hainaut,Région Wallonne,,,
Chastre,No,Province du Brabant wallon,Région Wallonne,,,
Châtelet,No,Province de Hainaut,Région Wallonne,,,
Chaudfontaine,No,Province de Liège,Région Wallonne,,,
,No,,,,,
Chaumont-Gistoux,Yes,Province du Brabant wallon,Région Wallonne,,,
Chièvres,No,Province de Hainaut,Région Wallonne,,,
Chimay,No,Province de Hainaut,Région Wallonne,,,
Chiny,No,Province de Luxembourg,Région Wallonne,,,
Ciney,No,Province de Namur,Région Wallonne,,,
Clavier,No,Province de Liège,Région Wallonne,,,
Colfontaine,No,Province de Hainaut,Région Wallonne,,,
Comblain-au-Pont,No,Province de Liège,Région Wallonne,,,
Comines-Warneton,No,Province de Hainaut,Région Wallonne,,,
Courcelles,No,Province de Hainaut,Région Wallonne,,,
